year,sex,name,n,prop
1928,F,Amanda,247,0.000206627990145434
1928,F,Deborah,130,0.000108751573760755
1928,F,Jessica,36,3.01158204260552e-05
1929,F,Betty,36669,0.0316800016587745
1929,F,Dorothy,31477,0.0271943988713422
1929,F,Helen,20983,0.0181281593391166
1929,F,Patricia,13626,0.0117721154818092
1929,F,Linda,509,0.000439748039060684
1929,F,Amanda,209,0.000180564518985625
1929,F,Deborah,161,0.000139095155773615
1929,F,Jessica,42,3.62856928105083e-05
1930,F,Betty,38239,0.0327853532062582
1930,F,Dorothy,30404,0.0260677810320111
1930,F,Helen,19914,0.0170738650003772
1930,F,Patricia,15749,0.0135028773672261
1930,F,Linda,493,0.000422688332087274
1930,F,Amanda,196,0.00016804647685417
1930,F,Deborah,165,0.000141467697351725
1930,F,Jessica,38,3.25804393900942e-05
1931,F,Betty,36102,0.0327140362625423
1931,F,Dorothy,26521,0.0240321576566086
1931,F,Helen,17657,0.0159999927507537
1931,F,Patricia,16468,0.0149225735186845
1931,F,Linda,534,0.000483887190853626
1931,F,Amanda,209,0.00018938655971612
1931,F,Deborah,158,0.000143172614522234
1931,F,Jessica,39,3.53400757365008e-05
1932,F,Betty,34411,0.0311083227035339
1932,F,Dorothy,24968,0.0225716370132177
1932,F,Patricia,17991,0.0162642711272349
1932,F,Helen,16375,0.0148033705579718
1932,F,Linda,774,0.000699713515228713
1932,F,Amanda,213,0.00019255682008232
1932,F,Deborah,208,0.000188036706934848
1932,F,Jessica,44,3.97769956977563e-05
1933,F,Betty,31526,0.0301434985810775
1933,F,Dorothy,22050,0.0210830471265862
1933,F,Patricia,18625,0.017808242754316
1933,F,Helen,14645,0.0140027766516488
1933,F,Linda,786,0.000751531747913687
1933,F,Deborah,243,0.000232343784660338
1933,F,Amanda,199,0.000190273305133363
1933,F,Jessica,43,4.11143322649981e-05
1934,F,Betty,31078,0.0287181174191951
1934,F,Dorothy,21280,0.0196641205573226
1934,F,Patricia,20847,0.0192640000591402
1934,F,Helen,14099,0.0130284039350419
1934,F,Linda,1001,0.000924989881479318
1934,F,Deborah,280,0.000258738428385823
1934,F,Amanda,189,0.000174648439160431
1934,F,Jessica,46,4.25070275205281e-05
1935,F,Betty,28673,0.0263859454097216
1935,F,Patricia,22876,0.0210513335609385
1935,F,Dorothy,19400,0.0178525909722944
1935,F,Helen,12778,0.0117587838888649
1935,F,Linda,1197,0.00110152326772353
1935,F,Deborah,279,0.00025674602480774
1935,F,Amanda,211,0.000194169932739903
1935,F,Jessica,47,4.32511224586515e-05
1936,F,Betty,25863,0.0240043659489396
1936,F,Patricia,23912,0.022193573776091
1936,F,Dorothy,17668,0.0163982963146528
1936,F,Helen,12232,0.0113529522594992
1936,F,Linda,2439,0.0022637222499116
1936,F,Deborah,299,0.00027751248574152
1936,F,Amanda,192,0.000178201997533016
1936,F,Jessica,43,3.99098223641651e-05
1937,F,Patricia,26837,0.0243591174914203
1937,F,Betty,25328,0.0229894447152324
1937,F,Dorothy,16571,0.0150409858013312
1937,F,Helen,11452,0.0103946273246542
1937,F,Linda,4380,0.00397559096070428
1937,F,Deborah,323,0.000293177141622713
1937,F,Amanda,176,0.00015974977376346
1937,F,Jessica,72,6.53521801759607e-05
1938,F,Patricia,27555,0.0241429070846355
1938,F,Betty,25502,0.0223441268906687
1938,F,Dorothy,16348,0.0143236525138676
1938,F,Helen,10833,0.00949156641073696
1938,F,Linda,7047,0.00617438091908643
1938,F,Deborah,410,0.000359230335862841
1938,F,Amanda,192,0.000168224937769916
1938,F,Jessica,50,4.38085775442489e-05
1938,F,Ashley,7,6.13320085619484e-06
1939,F,Patricia,29704,0.0261941652197148
1939,F,Betty,23639,0.0208458076901709
1939,F,Dorothy,15170,0.0133775076212993
1939,F,Linda,10714,0.00944803010247859
1939,F,Helen,10417,0.00918612372386778
1939,F,Deborah,443,0.000390654968769648
1939,F,Amanda,185,0.000163140336845113
1940,F,Betty,22074,0.0186875852937491
1940,F,Linda,18368,0.0155501298666116
1940,F,Dorothy,14874,0.0125921511125861
1940,F,Helen,10201,0.00863604501139508
1940,F,Deborah,469,0.000397049809856317
1940,F,Amanda,218,0.000184556201596326
1940,F,Jessica,61,5.16418729237427e-05
1941,F,Patricia,36901,0.0296201340816562
1941,F,Linda,23715,0.0190358385882897
1941,F,Betty,20900,0.0167762608684484
1941,F,Dorothy,14561,0.0116879968662908
1941,F,Helen,9889,0.00793782027407113
1941,F,Deborah,608,0.000488036679809409
1941,F,Amanda,223,0.000179000295390622
1941,F,Jessica,81,6.50180445140824e-05
1941,F,Ashley,6,4.81615144548759e-06
1942,F,Patricia,39454,0.0283767212206867
1942,F,Linda,31611,0.0227357564380576
1942,F,Betty,21654,0.0155743276046218
1942,F,Dorothy,15032,0.0108115494852071
1942,F,Helen,10013,0.00720170602683468
1942,F,Deborah,676,0.000486203263171901
1942,F,Amanda,295,0.000212174500940401
1942,F,Jessica,127,9.13429207438335e-05
1942,F,Ashley,8,5.7538847712651e-06
1943,F,Patricia,39620,0.0276053892520138
1943,F,Linda,38437,0.0267811293962558
1943,F,Betty,21595,0.0150464003255234
1943,F,Dorothy,14785,0.0103015063122419
1943,F,Helen,9799,0.00682749140031507
1943,F,Deborah,788,0.000549042067909815
1943,F,Amanda,284,0.000197878105693385
1943,F,Jessica,121,8.43072210876746e-05
1943,F,Ashley,10,6.96753893286567e-06
1944,F,Linda,38411,0.0281104982403037
1944,F,Patricia,36872,0.0269842048141543
1944,F,Betty,19757,0.0144588558937201
1944,F,Dorothy,13378,0.00979048307669114
1944,F,Helen,8693,0.00636183804647003
1944,F,Deborah,1293,0.000946262118265933
1944,F,Amanda,238,0.000174176631204402
1944,F,Jessica,124,9.07474885266633e-05
1944,F,Ashley,12,8.78201501870935e-06
1945,F,Linda,41464,0.0308041820109342
1945,F,Patricia,35840,0.0266260342290151
1945,F,Betty,18383,0.0136569862508924
1945,F,Dorothy,12328,0.00915864257743577
1945,F,Helen,8300,0.00616618538227749
1945,F,Deborah,1464,0.00108762595176557
1945,F,Amanda,280,0.00020801589241418
1945,F,Jessica,132,9.80646349952565e-05
1945,F,Ashley,10,7.42913901479216e-06
1946,F,Linda,52708,0.0326804234293612
1946,F,Patricia,46295,0.028704185373421
1946,F,Betty,19714,0.012223227356121
1946,F,Dorothy,12796,0.00793387527893499
1946,F,Helen,8852,0.00548848577439298
1946,F,Deborah,2470,0.00153146857916297
1946,F,Amanda,274,0.000169887607567067
1946,F,Jessica,240,0.000148806663562394
1946,F,Ashley,7,4.34019435390317e-06
1947,F,Linda,99680,0.0548360886157353
1947,F,Patricia,51274,0.0282069182151205
1947,F,Betty,18962,0.0104313996020423
1947,F,Dorothy,12751,0.00701459636776927
1947,F,Helen,8978,0.00493898880008098
1947,F,Deborah,5838,0.00321160799898338
1947,F,Jessica,430,0.000236552147921009
1947,F,Amanda,310,0.000170537595012821
1947,F,Ashley,11,6.05133401658396e-06
1948,F,Linda,96211,0.0552115905834257
1948,F,Patricia,46135,0.0264750052651604
1948,F,Betty,16622,0.00953869161195395
1948,F,Dorothy,11326,0.00649953201762667
1948,F,Deborah,11246,0.00645362326242535
1948,F,Helen,8305,0.00476590264933688
1948,F,Jessica,482,0.000276600250087944
1948,F,Amanda,306,0.000175600988645043
1948,F,Ashley,13,7.46017272021426e-06
1949,F,Linda,91010,0.0518428093664536
1949,F,Patricia,46337,0.0263953440019049
1949,F,Deborah,19208,0.0109416183090962
1949,F,Betty,14946,0.00851381857807951
1949,F,Dorothy,10406,0.00592765931510072
1949,F,Helen,7709,0.00439134399962632
1949,F,Jessica,406,0.000231273273297222
1949,F,Amanda,333,0.000189689655192056
1949,F,Ashley,11,6.26602464598385e-06
1950,F,Linda,80439,0.0457319621154536
1950,F,Patricia,47952,0.0272621371145866
1950,F,Deborah,29073,0.0165288645381293
1950,F,Betty,13614,0.00773996360272735
1950,F,Dorothy,9555,0.00543230147084324
1950,F,Helen,7060,0.0040138198204242
1950,F,Jessica,402,0.000228548947281945
1950,F,Amanda,379,0.000215472763730988
1950,F,Ashley,15,8.52794579410241e-06
1951,F,Linda,73947,0.0400434945769865
1951,F,Patricia,56433,0.0305593807654547
1951,F,Deborah,42045,0.0227680464317606
1951,F,Betty,12820,0.00694223701403664
1951,F,Dorothy,9082,0.00491804965378165
1951,F,Helen,6945,0.00376082964605963
1951,F,Jessica,466,0.000252346524847198
1951,F,Amanda,409,0.000221480104425974
1951,F,Ashley,15,8.12274221611151e-06
1952,F,Linda,67092,0.0352717589878795
1952,F,Patricia,53090,0.0279105956696256
1952,F,Deborah,49809,0.0261857008797962
1952,F,Betty,12125,0.00637438260490131
1952,F,Dorothy,8608,0.00452541735777241
1952,F,Helen,6470,0.00340142313020301
1952,F,Jessica,452,0.000237626469065187
1952,F,Amanda,418,0.000219751911657629
1952,F,Ashley,24,1.26173346406294e-05
1953,F,Linda,61264,0.0317575840515387
1953,F,Deborah,52196,0.0270569805620611
1953,F,Patricia,51007,0.0264406354419697
1953,F,Betty,11367,0.00589234228770306
1953,F,Dorothy,8154,0.00422681085721217
1953,F,Helen,6120,0.00317244081998265
1953,F,Jessica,495,0.000256594478086832
1953,F,Amanda,428,0.000221863508325584
1953,F,Ashley,15,7.7755902450555e-06
1954,F,Linda,55371,0.0278157891564086
1954,F,Deborah,54674,0.0274656491003862
1954,F,Patricia,49133,0.0246821110079613
1954,F,Betty,10615,0.00533247732378461
1954,F,Dorothy,7791,0.00391383239091907
1954,F,Helen,5940,0.00298397694802455
1954,F,Amanda,428,0.000215007093224664
1954,F,Jessica,424,0.000212997681138453
1954,F,Ashley,21,1.0549413452612e-05
1955,F,Deborah,52314,0.026099932497594
1955,F,Linda,51279,0.0255835615426869
1955,F,Patricia,46210,0.0230545911364801
1955,F,Betty,9928,0.00495316989402671
1955,F,Dorothy,7241,0.00361260104780897
1955,F,Helen,5596,0.00279189552044455
1955,F,Amanda,452,0.000225506929099524
1955,F,Jessica,386,0.000192578926177912
1955,F,Ashley,8,3.9912730814075e-06
1956,F,Linda,48067,0.0233410866641092
1956,F,Deborah,47829,0.0232255150947153
1956,F,Patricia,43332,0.0210417951469653
1956,F,Betty,9213,0.00447378516313558
1956,F,Dorothy,6862,0.00333215171924849
1956,F,Helen,5279,0.00256345510433005
1956,F,Amanda,643,0.000312237475295363
1956,F,Jessica,406,0.00019715150073082
1956,F,Ashley,25,1.21398707346564e-05
1957,F,Linda,44495,0.021213187408344
1957,F,Deborah,40065,0.0191011653784763
1957,F,Patricia,39277,0.0187254829045404
1957,F,Betty,8474,0.00404001685803589
1957,F,Dorothy,6401,0.00305170496911585
1957,F,Helen,5015,0.0023909233588683
1957,F,Amanda,667,0.000317995190501527
1957,F,Jessica,476,0.000226935098468856
1957,F,Ashley,27,1.28723690307964e-05
1958,F,Linda,41898,0.0202894802981679
1958,F,Patricia,37932,0.0183689094150104
1958,F,Deborah,32936,0.015949551842581
1958,F,Betty,7709,0.00373315202679308
1958,F,Dorothy,5539,0.00268231016687078
1958,F,Helen,4763,0.0023065252436912
1958,F,Amanda,796,0.00038547010161205
1958,F,Jessica,529,0.000256172969538661
1958,F,Ashley,38,1.84018390216808e-05
1959,F,Linda,40409,0.0194416392387311
1959,F,Patricia,35221,0.0169455808267303
1959,F,Deborah,29552,0.0142181029667396
1959,F,Betty,7317,0.00352036611422691
1959,F,Dorothy,5238,0.00252011448767535
1959,F,Helen,4378,0.00210634998607153
1959,F,Amanda,858,0.000412802258576833
1959,F,Jessica,523,0.000251626551556741
1959,F,Ashley,37,1.78014959992341e-05
1981,F,Jessica,42527,0.0237842499463097
1981,F,Amanda,34373,0.0192239288782304
1981,F,Ashley,8877,0.00496467624740497
1981,F,Patricia,5285,0.0029557636552366
1981,F,Linda,2730,0.00152681831197652
1981,F,Deborah,1905,0.00106541717374186
1981,F,Helen,896,0.000501109599828191
1981,F,Dorothy,787,0.00044014872217052
1981,F,Betty,662,0.000370239458801632
1982,F,Jessica,45445,0.0250562932675237
1982,F,Amanda,34210,0.0188618284229725
1982,F,Ashley,14851,0.00818816176292209
1982,F,Patricia,5167,0.00284884733883364
1982,F,Linda,2787,0.00153662425649881
1982,F,Deborah,1842,0.00101559450321881
1982,F,Helen,875,0.000482434956740747
1982,F,Dorothy,828,0.000456521307635815
1982,F,Betty,635,0.000350109940034713
1983,F,Jessica,45278,0.0253076258799791
1983,F,Amanda,33754,0.0188664164484477
1983,F,Ashley,33290,0.0186070688975773
1983,F,Patricia,4922,0.00275109621850031
1983,F,Linda,2473,0.0013822553734968
1983,F,Deborah,1605,0.000897096592989232
1983,F,Helen,844,0.000471744252014275
1983,F,Dorothy,759,0.000424234463600515
1983,F,Betty,563,0.000314682480905257
1984,F,Jessica,45851,0.025436304942746
1984,F,Ashley,38759,0.0215019463757801
1984,F,Amanda,33906,0.0188096956530664
1984,F,Patricia,4475,0.00248255140823075
1984,F,Linda,2334,0.00129481005291857
1984,F,Deborah,1468,0.000814387813917932
1984,F,Helen,859,0.00047653891836206
1984,F,Dorothy,682,0.000378346382215279
1984,F,Betty,503,0.000279044325886049
1985,F,Jessica,48343,0.0261934794528861
1985,F,Ashley,47007,0.0254696003276962
1985,F,Amanda,39050,0.0211582932924147
1985,F,Patricia,4398,0.00238294939564762
1985,F,Linda,2113,0.00114487768826817
1985,F,Deborah,1401,0.000759097795202892
1985,F,Helen,809,0.000438336985238501
1985,F,Dorothy,719,0.000389572672912833
1985,F,Betty,502,0.000271996497638724
1986,F,Jessica,52667,0.0285499155975875
1986,F,Ashley,49674,0.0269274594602799
1986,F,Amanda,40522,0.0219663105900363
1986,F,Patricia,4246,0.00230168685566591
1986,F,Linda,1951,0.00105760505308624
1986,F,Deborah,1284,0.000696035309155683
1986,F,Helen,766,0.000415236017767331
1986,F,Dorothy,629,0.000340970568114427
1986,F,Betty,407,0.000220628014662277
1987,F,Jessica,55990,0.0298840611579793
1987,F,Ashley,54845,0.029272929705472
1987,F,Amanda,41786,0.0223028287113293
1987,F,Patricia,3913,0.00208852172372161
1987,F,Linda,1929,0.00102958303221543
1987,F,Deborah,1203,0.000642088329577588
1987,F,Helen,815,0.000434997496762871
1987,F,Dorothy,614,0.000327715905536691
1987,F,Betty,435,0.000232176578026809
1988,F,Jessica,51532,0.0268079862120844
1988,F,Ashley,49963,0.025991760752821
1988,F,Amanda,39451,0.0205232062418098
1988,F,Patricia,3798,0.00197579623599892
1988,F,Linda,1844,0.000959286008210115
1988,F,Deborah,1056,0.000549352507955467
1988,F,Helen,775,0.000403170637940802
1988,F,Dorothy,608,0.000316293868216784
1988,F,Betty,395,0.000205486970305312
1989,F,Jessica,47885,0.0240412252916602
1989,F,Ashley,47585,0.0238906067767286
1989,F,Amanda,36827,0.0184894268312827
1989,F,Patricia,3606,0.00181043454947743
1989,F,Linda,1844,0.000925801805112695
1989,F,Deborah,1076,0.000540218406887885
1989,F,Helen,857,0.000430266890987842
1989,F,Dorothy,620,0.000311278264191904
1989,F,Betty,399,0.000200322624858983
1990,F,Jessica,46470,0.0226274308541356
1990,F,Ashley,45553,0.0221809201140185
1990,F,Amanda,34405,0.0167526739517223
1990,F,Patricia,3578,0.00174221965991171
1990,F,Linda,1658,0.000807322581367696
1990,F,Deborah,1094,0.000532696564545392
1990,F,Helen,861,0.000419242908659582
1990,F,Dorothy,596,0.000290207634798038
1990,F,Betty,406,0.00019769177806712
1991,F,Ashley,43482,0.0213883278618854
1991,F,Jessica,43394,0.0213450416089107
1991,F,Amanda,28887,0.0142092044281837
1991,F,Patricia,3418,0.00168127741667642
1991,F,Linda,1608,0.000790957895264976
1991,F,Deborah,1014,0.00049877568768575
1991,F,Helen,773,0.000380230381243673
1991,F,Dorothy,498,0.000244960840697735
1991,F,Betty,345,0.000169701787230359
1992,F,Ashley,38452,0.0191860354880783
1992,F,Jessica,38352,0.0191361394215848
1992,F,Amanda,25034,0.0124909812859813
1992,F,Patricia,2951,0.00147243292222301
1992,F,Linda,1580,0.000788357850597206
1992,F,Deborah,919,0.00045854485107521
1992,F,Helen,827,0.000412640469901196
1992,F,Dorothy,508,0.00025347201778695
1992,F,Betty,296,0.000147692356820742
1993,F,Jessica,34987,0.0177506267031079
1993,F,Ashley,34847,0.0176795978141367
1993,F,Amanda,20809,0.0105574296471538
1993,F,Patricia,2660,0.00134954889045265
1993,F,Linda,1487,0.000754428270715449
1993,F,Helen,868,0.000440379111621392
1993,F,Deborah,797,0.000404357317928858
1993,F,Dorothy,476,0.000241498222502053
1993,F,Betty,292,0.000148145968425629
1994,F,Jessica,32117,0.0164797639663909
1994,F,Ashley,30278,0.0155361426463986
1994,F,Amanda,18715,0.00960297607594125
1994,F,Patricia,2363,0.00121249438778783
1994,F,Linda,1281,0.000657302289782567
1994,F,Helen,848,0.000435122827272144
1994,F,Deborah,740,0.000379706240779937
1994,F,Dorothy,442,0.000226797511384773
1994,F,Betty,275,0.00014110704893849
1995,F,Jessica,27935,0.0145416403136851
1995,F,Ashley,26603,0.0138482640868074
1995,F,Amanda,16345,0.00850843425549248
1995,F,Patricia,2160,0.0011243938814233
1995,F,Linda,1233,0.000641841507312464
1995,F,Helen,837,0.000435702629051527
1995,F,Deborah,660,0.000343564797101562
1995,F,Dorothy,376,0.000195727823803314
1995,F,Betty,234,0.00012180933715419
1996,F,Jessica,24192,0.012621838409999
1996,F,Ashley,23676,0.0123526226105793
1996,F,Amanda,13973,0.00729021776219062
1996,F,Patricia,1970,0.00102782000941212
1996,F,Linda,987,0.000514953476796833
1996,F,Helen,900,0.000469562440848176
1996,F,Deborah,633,0.000330258916729884
1996,F,Dorothy,350,0.000182607615885402
1996,F,Betty,217,0.000113216721848949
1997,F,Jessica,21043,0.0110255841966801
1997,F,Ashley,20895,0.0109480388627872
1997,F,Amanda,12239,0.00641268473996901
1997,F,Patricia,1781,0.000933163781508686
1997,F,Linda,1095,0.00057373067981584
1997,F,Helen,812,0.000425451426493573
1997,F,Deborah,638,0.000334283263673522
1997,F,Dorothy,315,0.000165045812001817
1997,F,Betty,189,9.90274872010902e-05
1998,F,Ashley,19871,0.0102549361330773
1998,F,Jessica,18233,0.00940960447458096
1998,F,Amanda,10908,0.00562935148405249
1998,F,Patricia,1704,0.000879392641073107
1998,F,Linda,970,0.000500593228779879
1998,F,Helen,832,0.000429374810664803
1998,F,Deborah,553,0.00028538974795389
1998,F,Dorothy,312,0.000161015553999301
1998,F,Betty,194,0.000100118645755976
1999,F,Ashley,18132,0.00931837897619116
1999,F,Jessica,16346,0.0084005196748743
1999,F,Amanda,9741,0.00500608480074333
1999,F,Patricia,1532,0.000787323879964971
1999,F,Linda,898,0.000461499245566935
1999,F,Helen,841,0.000432205863610014
1999,F,Deborah,524,0.000269293546410995
1999,F,Dorothy,335,0.000172162858869625
1999,F,Betty,182,9.35332546694679e-05
